Catchment,Area_ac,SedLoad_lb.ac.yr,TN_lb.ac.yr,TP_lb.ac.yr,Affordability_USD.ac,Buffer_Forest_Cover_per,Travel_Time_Brewer_hr,Distance_Brewer_Pugh,Land_Use_Pugh
1,1479.47,5572444.097,8474.554083,832.791722,5407.832527,37.82505933,6.205,1,5
2,783.701,1065742.151,2810.035298,190.45923,3617.428581,88.08154041,6.15651,1,1
3,339.227,811143.23,1518.500077,125.325846,920.3280561,73.71534171,6.02,1,2
4,617.627,2096718.107,3594.145547,337.722765,2132.052923,29.05434062,5.58003,1,5
5,620.148,1902391.79,3297.27029,303.212747,2162.057179,32.97918979,4.44287,1,4
6,885.866,2952265.353,4347.14377,425.237794,1225.714792,56.32906299,2.92872,1,4
7,1119.1,896088.821,3721.422383,217.772429,3285.989078,84.2786324,2.95695,2,1
8,294.345,545140.154,1363.312878,105.997987,1320.63564,63.96772189,2.98266,2,2
9,1238.47,3341857.012,6791.249084,588.992878,3682.743225,47.46427726,3.23955,2,4
10,980.483,2957970.566,5787.924611,517.722811,5995.217485,33.11209631,3.23955,2,5
11,391.178,327917.848,1264.423653,70.617316,1388.786515,85.32190759,2.41965,3,1
12,845.852,2407286.413,5241.481957,431.293318,3319.124521,51.52343389,2.3131,2,3
13,1387.83,3506945.655,6241.019651,539.867979,3422.531623,60.41390834,2.0051,3,2
14,1033.23,1645820.736,4024.600054,301.338176,2157.53573,70.60346348,2.13738,3,1
15,1125.68,2550326.657,4794.430485,402.632679,1335.677415,67.33942299,2.33416,3,1
16,346.598,875268.396,1626.637284,141.011948,3157.782682,50.72034574,2.42952,3,3
17,1763.56,1877723.279,6020.510396,368.072712,1163.40333,77.42787042,0,5,1
18,681.024,868830.049,2489.674376,166.605432,1066.764106,81.07493185,0,5,1
19,1545.34,4664278.15,7648.8234,708.492814,2409.75066,59.16635705,1.17649,4,3
20,933.725,1558441.093,3698.63483,286.264855,3713.382765,76.08423613,1.56254,4,1
21,466.637,710782.295,1792.539844,128.527794,868.0728378,76.24986394,0,5,1
22,1003.37,1700735.21,3778.362804,282.793416,660.6796487,77.26053455,0,5,1
23,351.891,553157.458,1298.010957,92.725529,2760.057845,67.27101781,0.5,4,2
24,532.657,2761343.639,2858.912376,336.188539,1821.658839,23.65020222,0,5,5
25,969.499,3674529.79,4719.375995,492.771981,5863.121848,58.76842612,0.195155,4,4
26,245.048,155722.871,690.67372,37.929701,2792.38475,70.87473269,0,5,1
